DATE,JHGDPBRINDX
1967-10-01,3.834800000000005
1968-01-01,1.7614000000000019
1968-04-01,1.2127
1968-07-01,2.3008999999999946
1968-10-01,6.3338
1969-01-01,12.950099999999997
1969-04-01,20.460500000000003
1969-07-01,45.702799999999996
1969-10-01,89.2282
1970-01-01,97.60567
1970-04-01,91.58425
1970-07-01,94.99551
1970-10-01,94.65547
1971-01-01,15.872900000000001
1971-04-01,10.011499999999995
1971-07-01,12.151800000000001
1971-10-01,3.5814000000000012
1972-01-01,0.9639999999999982
1972-04-01,0.27599999999999847
1972-07-01,0.7746000000000031
1972-10-01,0.3638999999999948
1973-01-01,0.7199999999999984
1973-04-01,10.029600000000006
1973-07-01,19.884100000000004
1973-10-01,71.9536
1974-01-01,99.648569
1974-04-01,99.17425899999999
1974-07-01,99.342038
1974-10-01,99.9832416
1975-01-01,99.9865102
1975-04-01,42.8397
1975-07-01,0.06720000000000059
1975-10-01,0.4978000000000038
1976-01-01,0.07509999999999462
1976-04-01,0.925699999999996
1976-07-01,1.6889000000000043
1976-10-01,2.409300000000003
1977-01-01,0.27359999999999607
1977-04-01,0.38529999999999953
1977-07-01,0.6147000000000014
1977-10-01,7.3542
1978-01-01,11.924500000000005
1978-04-01,0.29360000000000497
1978-07-01,2.0132999999999956
1978-10-01,0.8237999999999968
1979-01-01,48.534299999999995
1979-04-01,69.9795
1979-07-01,40.422999999999995
1979-10-01,39.009499999999996
1980-01-01,81.7206
1980-04-01,99.84910099999999
1980-07-01,36.712900000000005
1980-10-01,6.7876999999999965
1981-01-01,1.5912000000000037
1981-04-01,60.2406
1981-07-01,78.8921
1981-10-01,98.99230999999999
1982-01-01,99.071215
1982-04-01,78.71719999999999
1982-07-01,92.21919
1982-10-01,84.5000
1983-01-01,31.614600000000003
1983-04-01,0.5399000000000043
1983-07-01,0.29879999999999907
1983-10-01,0.7422999999999957
1984-01-01,0.06129999999999747
1984-04-01,0.5825999999999998
1984-07-01,7.260500000000003
1984-10-01,6.880299999999995
1985-01-01,29.9844
1985-04-01,18.974000000000004
1985-07-01,17.2050
1985-10-01,26.558899999999998
1986-01-01,9.981200000000001
1986-04-01,19.779000000000003
1986-07-01,16.213900000000002
1986-10-01,13.8915
1987-01-01,6.770699999999996
1987-04-01,5.842400000000003
1987-07-01,2.4428000000000005
1987-10-01,2.2719999999999962
1988-01-01,3.076599999999996
1988-04-01,5.381400000000003
1988-07-01,7.7538
1988-10-01,4.1657000000000055
1989-01-01,4.9025
1989-04-01,5.602300000000005
1989-07-01,9.272999999999998
1989-10-01,12.4675
1990-01-01,28.883800000000004
1990-04-01,40.5987
1990-07-01,79.5802
1990-10-01,95.06845
1991-01-01,97.02841
1991-04-01,90.22813
1991-07-01,80.7474
1991-10-01,78.3073
1992-01-01,62.6369
1992-04-01,53.5841
1992-07-01,23.862700000000004
1992-10-01,14.1814
1993-01-01,35.3155
1993-04-01,20.858900000000002
1993-07-01,8.394400000000001
1993-10-01,2.597000000000005
1994-01-01,4.437199999999997
1994-04-01,3.9198999999999984
1994-07-01,2.8478000000000003
1994-10-01,2.636700000000003
1995-01-01,11.770899999999996
1995-04-01,9.750300000000001
1995-07-01,32.802200000000006
1995-10-01,32.5109
1996-01-01,21.1399
1996-04-01,10.509800000000002
1996-07-01,7.6793
1996-10-01,5.046700000000004
1997-01-01,4.299299999999995
1997-04-01,4.372399999999999
1997-07-01,4.429399999999994
1997-10-01,3.5717
1998-01-01,2.930100000000002
1998-04-01,6.239499999999998
1998-07-01,2.7291999999999983
1998-10-01,0.970800000000005
1999-01-01,2.4190999999999963
1999-04-01,4.980600000000002
1999-07-01,1.0736999999999997
1999-10-01,0.32689999999999664
2000-01-01,0.8611999999999953
2000-04-01,1.1361999999999983
2000-07-01,8.190299999999995
2000-10-01,16.150299999999994
2001-01-01,27.005100000000006
2001-04-01,58.221999999999994
2001-07-01,83.83430000000001
2001-10-01,35.9217
2002-01-01,22.8780
2002-04-01,19.738599999999995
2002-07-01,16.638200000000005
2002-10-01,22.028800000000004
2003-01-01,23.825799999999997
2003-04-01,5.577299999999996
2003-07-01,0.9495000000000031
2003-10-01,2.2133999999999987
2004-01-01,3.196500000000002
2004-04-01,4.3000
2004-07-01,4.2000
2004-10-01,3.4000
2005-01-01,4.7000
2005-04-01,4.8000
2005-07-01,7.4000
2005-10-01,7.1000
2006-01-01,3.4000
2006-04-01,9.3000
2006-07-01,9.1000
2006-10-01,16.9000
2007-01-01,26.2000
2007-04-01,9.5000
2007-07-01,7.7000
2007-10-01,26.9000
2008-01-01,38.4000
2008-04-01,46.1000
2008-07-01,88.4000
2008-10-01,99.5000
2009-01-01,99.7000
2009-04-01,84.6000
2009-07-01,37.6000
2009-10-01,7.7000
2010-01-01,5.4000
2010-04-01,9.1000
2010-07-01,5.3000
2010-10-01,5.2000
2011-01-01,14.4000
2011-04-01,10.3000
2011-07-01,7.4000
2011-10-01,4.0000
2012-01-01,5.7000
2012-04-01,7.9000
2012-07-01,8.2000
2012-10-01,9.2000
2013-01-01,30.5000
2013-04-01,12.409999999999998
2013-07-01,3.3000
2013-10-01,9.9000
2014-01-01,24.1000
2014-04-01,5.0000
2014-07-01,1.6000
2014-10-01,7.9000
2015-01-01,13.3000
2015-04-01,5.6000
2015-07-01,10.0000
2015-10-01,15.7000
2016-01-01,22.5000
2016-04-01,12.2000
2016-07-01,5.3000
2016-10-01,8.4000
2017-01-01,8.2000
2017-04-01,3.3
2017-07-01,2.4
2017-10-01,2.4
2018-01-01,2.7
2018-04-01,1.1
2018-07-01,1.5
2018-10-01,2.4
2019-01-01,2.9
2019-04-01,3.9
2019-07-01,3.8
2019-10-01,32.5
2020-01-01,97.1
2020-04-01,100.0
2020-07-01,0.0
2020-10-01,0.4
2021-01-01,0.2
2021-04-01,0.3
2021-07-01,1.2
2021-10-01,1.2
2022-01-01,37.4
2022-04-01,29.2
2022-07-01,8.3
2022-10-01,7.6
2023-01-01,4.9
