DATE,CORESTICKM159SFRBATL
1985-09-01,4.7871651
1985-10-01,4.891950804
1985-11-01,5.149995169
1985-12-01,5.030732007
1986-01-01,5.296961132
1986-02-01,5.124947576
1986-03-01,5.229854261
1986-04-01,5.370857251
1986-05-01,5.040741681
1986-06-01,5.042080888
1986-07-01,4.975291061
1986-08-01,4.838260997
1986-09-01,4.962973389
1986-10-01,4.897657302
1986-11-01,4.591247998
1986-12-01,4.64519092
1987-01-01,4.481798225
1987-02-01,4.44093159
1987-03-01,4.263792189
1987-04-01,4.358079784
1987-05-01,4.416917659
1987-06-01,4.175391862
1987-07-01,4.166490008
1987-08-01,4.280898407
1987-09-01,4.291035748
1987-10-01,4.343067431
1987-11-01,4.314664296
1987-12-01,4.302583149
1988-01-01,4.383640423
1988-02-01,4.386553409
1988-03-01,4.451939222
1988-04-01,4.388452903
1988-05-01,4.445286952
1988-06-01,4.685384324
1988-07-01,4.712055892
1988-08-01,4.685749317
1988-09-01,4.73102913
1988-10-01,4.616281806
1988-11-01,4.751873732
1988-12-01,4.798725378
1989-01-01,4.756783262
1989-02-01,4.792426849
1989-03-01,4.760352769
1989-04-01,4.627130987
1989-05-01,4.751380664
1989-06-01,4.753801306
1989-07-01,4.905247602
1989-08-01,4.865522153
1989-09-01,4.684441734
1989-10-01,4.81739966
1989-11-01,4.811218772
1989-12-01,4.842735403
1990-01-01,4.92058886
1990-02-01,4.935526464
1990-03-01,5.208700881
1990-04-01,5.294133558
1990-05-01,5.183754067
1990-06-01,5.388456883
1990-07-01,5.535071884
1990-08-01,5.855903558
1990-09-01,5.948660349
1990-10-01,5.817450968
1990-11-01,5.70341926
1990-12-01,5.672549361
1991-01-01,5.839029006
1991-02-01,5.883436919
1991-03-01,5.496431415
1991-04-01,5.302381155
1991-05-01,5.248477287
1991-06-01,4.959978472
1991-07-01,4.735708693
1991-08-01,4.413788018
1991-09-01,4.465741661
1991-10-01,4.310597235
1991-11-01,4.370003221
1991-12-01,4.366592403
1992-01-01,4.069913371
1992-02-01,3.878184354
1992-03-01,3.990512759
1992-04-01,4.077543119
1992-05-01,3.937860894
1992-06-01,3.875841001
1992-07-01,3.785344226
1992-08-01,3.644349796
1992-09-01,3.363566041
1992-10-01,3.654950596
1992-11-01,3.649402976
1992-12-01,3.497528562
1993-01-01,3.547354737
1993-02-01,3.580667722
1993-03-01,3.353160609
1993-04-01,3.422176699
1993-05-01,3.551431283
1993-06-01,3.583428873
1993-07-01,3.437046316
1993-08-01,3.522739086
1993-09-01,3.656038681
1993-10-01,3.433321443
1993-11-01,3.445125507
1993-12-01,3.557822725
1994-01-01,3.384372964
1994-02-01,3.424654259
1994-03-01,3.578833286
1994-04-01,3.364064138
1994-05-01,3.238103819
1994-06-01,3.207540833
1994-07-01,3.245680943
1994-08-01,3.318864731
1994-09-01,3.267212367
1994-10-01,3.178740091
1994-11-01,3.142092625
1994-12-01,2.915659975
1995-01-01,3.159681044
1995-02-01,3.139699974
1995-03-01,3.184482491
1995-04-01,3.322916117
1995-05-01,3.367477772
1995-06-01,3.34707431
1995-07-01,3.402097044
1995-08-01,3.255560049
1995-09-01,3.368207809
1995-10-01,3.479287466
1995-11-01,3.394879542
1995-12-01,3.397750888
1996-01-01,3.294296705
1996-02-01,3.278044833
1996-03-01,3.15123296
1996-04-01,3.021419042
1996-05-01,3.065009249
1996-06-01,3.066510398
1996-07-01,3.103134864
1996-08-01,3.096243134
1996-09-01,3.076709572
1996-10-01,2.957328624
1996-11-01,2.99348831
1996-12-01,3.066760867
1997-01-01,2.924852958
1997-02-01,2.815492049
1997-03-01,2.868448161
1997-04-01,2.924881516
1997-05-01,2.883239208
1997-06-01,2.841507556
1997-07-01,2.764311367
1997-08-01,2.668660701
1997-09-01,2.558893145
1997-10-01,2.633884037
1997-11-01,2.564888202
1997-12-01,2.636585632
1998-01-01,2.686312997
1998-02-01,2.70235568
1998-03-01,2.682792941
1998-04-01,2.650550927
1998-05-01,2.621199946
1998-06-01,2.610692088
1998-07-01,2.613395599
1998-08-01,2.643666793
1998-09-01,2.603431515
1998-10-01,2.54435291
1998-11-01,2.531446927
1998-12-01,2.446189532
1999-01-01,2.3907588
1999-02-01,2.3238316
1999-03-01,2.2464619
1999-04-01,2.2358613
1999-05-01,2.1625267
1999-06-01,2.0812547
1999-07-01,2.1244533
1999-08-01,2.1074137
1999-09-01,2.0832919
1999-10-01,2.0639533
1999-11-01,2.1623251
1999-12-01,2.1818508
2000-01-01,2.350195
2000-02-01,2.3950909
2000-03-01,2.4989589
2000-04-01,2.4247194
2000-05-01,2.5736327
2000-06-01,2.7153642
2000-07-01,2.7240005
2000-08-01,2.8853852
2000-09-01,2.908796
2000-10-01,2.9310365
2000-11-01,2.8816134
2000-12-01,2.9838403
2001-01-01,2.8896431
2001-02-01,2.9893325
2001-03-01,2.9711853
2001-04-01,3.1007641
2001-05-01,3.0843327
2001-06-01,3.2118098
2001-07-01,3.2190557
2001-08-01,3.2635089
2001-09-01,3.3990087
2001-10-01,3.4934371
2001-11-01,3.6122717
2001-12-01,3.5754587
2002-01-01,3.5684398
2002-02-01,3.5387817
2002-03-01,3.480145
2002-04-01,3.4775061
2002-05-01,3.4632677
2002-06-01,3.2512149
2002-07-01,3.2740984
2002-08-01,3.1567969
2002-09-01,3.0374651
2002-10-01,2.9477485
2002-11-01,2.8341831
2002-12-01,2.8018315
2003-01-01,2.7875531
2003-02-01,2.7046594
2003-03-01,2.6277872
2003-04-01,2.4593491
2003-05-01,2.3483407
2003-06-01,2.27155
2003-07-01,2.237208
2003-08-01,2.1655338
2003-09-01,2.1842475
2003-10-01,2.1611133
2003-11-01,2.0365931
2003-12-01,1.976213
2004-01-01,1.9607229
2004-02-01,2.0481367
2004-03-01,2.1370611
2004-04-01,2.2577613
2004-05-01,2.2378638
2004-06-01,2.3794884
2004-07-01,2.2638524
2004-08-01,2.2577292
2004-09-01,2.240201
2004-10-01,2.2372194
